spec,n,estimator,true,bias,sd,se,coverage,reps
Model1,1500,plug_in,0.385699,0.013314,0.045502,0.046546,0.946667,300
Model1,1500,loo,0.385699,-0.001764,0.048514,0.046546,0.933333,300
Model1,1500,dml_sieve,0.385699,-0.023116,0.050531,0.050138,0.906667,300
Model1,3000,plug_in,0.385699,0.007474,0.034172,0.032833,0.930000,300
Model1,3000,loo,0.385699,0.000782,0.035329,0.032833,0.920000,300
Model1,3000,dml_sieve,0.385699,-0.009112,0.037859,0.033968,0.883333,300
Model1,6000,plug_in,0.385699,0.001203,0.022731,0.023296,0.963333,300
Model1,6000,loo,0.385699,-0.002030,0.023370,0.023296,0.953333,300
Model1,6000,dml_sieve,0.385699,-0.006184,0.023809,0.023672,0.930000,300
Model2,1500,plug_in,0.235776,0.002835,0.046656,0.048884,0.950000,300
Model2,1500,loo,0.235776,0.000009,0.046929,0.048884,0.950000,300
Model2,1500,dml_sieve,0.235776,-0.003791,0.047657,0.049296,0.946667,300
Model2,3000,plug_in,0.235776,0.003052,0.034626,0.034622,0.930000,300
Model2,3000,loo,0.235776,0.001605,0.034741,0.034622,0.933333,300
Model2,3000,dml_sieve,0.235776,0.000020,0.034816,0.034767,0.933333,300
Model2,6000,plug_in,0.235776,0.000229,0.023670,0.024376,0.973333,300
Model2,6000,loo,0.235776,-0.000530,0.023705,0.024376,0.976667,300
Model2,6000,dml_sieve,0.235776,-0.001173,0.023817,0.024425,0.970000,300
Model3,1500,plug_in,0.500145,0.004242,0.058525,0.057944,0.953333,300
Model3,1500,loo,0.500145,0.002008,0.059348,0.057944,0.946667,300
Model3,1500,dml_sieve,0.500145,-0.000528,0.060365,0.058308,0.943333,300
Model3,3000,plug_in,0.500145,-0.000437,0.042983,0.041300,0.933333,300
Model3,3000,loo,0.500145,-0.001644,0.043435,0.041300,0.930000,300
Model3,3000,dml_sieve,0.500145,-0.003096,0.044190,0.041415,0.906667,300
Model3,6000,plug_in,0.500145,0.003370,0.029697,0.029366,0.936667,300
Model3,6000,loo,0.500145,0.002720,0.029881,0.029366,0.940000,300
Model3,6000,dml_sieve,0.500145,0.002279,0.030116,0.029397,0.930000,300
Model4,1500,plug_in,0.103253,0.022840,0.044009,0.048921,0.933333,300
Model4,1500,loo,0.103253,0.005972,0.048015,0.048921,0.920000,300
Model4,1500,dml_sieve,0.103253,-0.008863,0.051836,0.049222,0.893333,300
Model4,3000,plug_in,0.103253,0.010451,0.032817,0.035188,0.950000,300
Model4,3000,loo,0.103253,0.000435,0.035662,0.035188,0.930000,300
Model4,3000,dml_sieve,0.103253,-0.008821,0.038370,0.034884,0.890000,300
Model4,6000,plug_in,0.103253,0.002958,0.026048,0.025074,0.943333,300
Model4,6000,loo,0.103253,-0.002027,0.027148,0.025074,0.916667,300
Model4,6000,dml_sieve,0.103253,-0.006404,0.028472,0.024641,0.896667,300
Model5,1500,plug_in,0.049940,0.032823,0.044999,0.042933,0.886667,300
Model5,1500,loo,0.049940,0.011482,0.051136,0.042933,0.883333,300
Model5,1500,dml_sieve,0.049940,-0.005961,0.057965,0.043597,0.806667,300
Model5,3000,plug_in,0.049940,0.015913,0.028709,0.031281,0.960000,300
Model5,3000,loo,0.049940,0.003799,0.031669,0.031281,0.930000,300
Model5,3000,dml_sieve,0.049940,-0.007185,0.035279,0.030899,0.860000,300
Model5,6000,plug_in,0.049940,0.007651,0.021901,0.022324,0.926667,300
Model5,6000,loo,0.049940,0.000635,0.023623,0.022324,0.923333,300
Model5,6000,dml_sieve,0.049940,-0.005677,0.025684,0.021890,0.873333,300
Model6,1500,plug_in,0.231523,0.022544,0.055866,0.054916,0.930000,300
Model6,1500,loo,0.231523,-0.004632,0.062545,0.054916,0.886667,300
Model6,1500,dml_sieve,0.231523,-0.033183,0.073413,0.063191,0.876667,300
Model6,3000,plug_in,0.231523,0.011054,0.038774,0.040081,0.943333,300
Model6,3000,loo,0.231523,-0.001245,0.040957,0.040081,0.950000,300
Model6,3000,dml_sieve,0.231523,-0.015560,0.043987,0.041970,0.920000,300
Model6,6000,plug_in,0.231523,0.007042,0.029404,0.029008,0.943333,300
Model6,6000,loo,0.231523,0.001109,0.030298,0.029008,0.940000,300
Model6,6000,dml_sieve,0.231523,-0.005014,0.032058,0.029540,0.930000,300
Model7,1500,plug_in,0.124990,0.052650,0.048349,0.050948,0.880000,300
Model7,1500,loo,0.124990,-0.007993,0.065453,0.050948,0.866667,300
Model7,1500,dml_sieve,0.124990,-0.022657,0.145876,0.095757,0.896667,300
Model7,3000,plug_in,0.124990,0.022684,0.037498,0.035206,0.910000,300
Model7,3000,loo,0.124990,-0.001341,0.041662,0.035206,0.886667,300
Model7,3000,dml_sieve,0.124990,-0.023526,0.049005,0.038953,0.843333,300
Model7,6000,plug_in,0.124990,0.011322,0.024802,0.024342,0.923333,300
Model7,6000,loo,0.124990,0.000803,0.026647,0.024342,0.913333,300
Model7,6000,dml_sieve,0.124990,-0.010781,0.029340,0.024944,0.870000,300
